Winner of the election: NDP

Winner of the popular vote: CONSERVATIVE

		RIDING#				NDP	   CONSERVATIVE 		LIBERAL			  GREEN    WINNING PARTY
            155              10               9               5               5             NDP
            156               6               9               6               6    CONSERVATIVE
            157              11               9               3               3             NDP
            158               5               8               5               7    CONSERVATIVE
            159               6              10               7               5    CONSERVATIVE
            160               4               4               5               6           GREEN
            161               9               5               3               4             NDP
            162               7               8               8              11           GREEN
            163               5               7               9               9       NOT NAMED
            164               3               9               2               4    CONSERVATIVE
            165               9               3               4               7             NDP
            166               9               4               8               5             NDP
            167               8              11               4               8    CONSERVATIVE
            168              12               7              10               7             NDP
            169               8               3               9               4         LIBERAL
            170               8               8               7               6       NOT NAMED
            171               4              11               8              12           GREEN
            172               7               9               7               7    CONSERVATIVE
            173               9              13               9              10    CONSERVATIVE
            174               3               9              10               6         LIBERAL
            175               4               6               6               3       NOT NAMED
            176               9               5               7               2             NDP
            177              10               5               7               2             NDP
            178               5              10               6               9    CONSERVATIVE
            179               5               5              15               7         LIBERAL
            180               5               8               8               8       NOT NAMED
            181               6               8               4               9           GREEN
            182               6               6               7               4         LIBERAL
            183              13               6               9               4             NDP
            184               3              10               8              11           GREEN
            185               9               7               6               5             NDP
            186               4              11               7               2    CONSERVATIVE
            187              14               7              10               6             NDP
            188               9              10               2              14           GREEN
            189               9               8               5               6             NDP
            190               8               9               5               9       NOT NAMED
            191              11               7               8               6             NDP
            192               6               6               6              12           GREEN
            193               9               3              10               7         LIBERAL
            194               7               6               8               9           GREEN
            195               6               7               9               9       NOT NAMED
            196               5              11               8               8    CONSERVATIVE
            197               9              11               8               8    CONSERVATIVE
            198               8              11              12               5         LIBERAL
            199               6               9               8              10           GREEN
            200              14              11               9               4             NDP
            201               9               7               3              11           GREEN
            202               8               6               4               5             NDP
            203               7               6               3               6             NDP
            204               8               7               4               7             NDP
            205               7              10               7               4    CONSERVATIVE
            206               8               6               5               9           GREEN
            207               6               4               8               3         LIBERAL
            208               8               6               5               6             NDP
            209              10               6               4               4             NDP
            210               8               9               7               4    CONSERVATIVE
            211              11              10               9               6             NDP
            212               8               5               6              11           GREEN
            213              12              10               7              14           GREEN
            214               4               5              12               9         LIBERAL
            215               4               9               6               7    CONSERVATIVE
            216              10               8               4               7             NDP
            217               3               7              10               6         LIBERAL
            218               9               8               9              10           GREEN
            219              12              17               6               6    CONSERVATIVE
            220              11              12               5               3    CONSERVATIVE
            221              10               7               7               4             NDP
            222               8               6               3               7             NDP
            223              16               5               4               9             NDP
            224               4               7               7               7       NOT NAMED
            225               7               6               5               6             NDP
            226               8               6              10               7         LIBERAL
            227               9               9              10               8         LIBERAL
            228               4               9              12              10         LIBERAL
            229               5               8               8              10           GREEN
            230               7               7               9              10           GREEN
            231               4               5              10               6         LIBERAL
            232              10               4               6               7             NDP
            233               8               3              12               7         LIBERAL
            234               5               9              10              11           GREEN
            235               8               8              12               6         LIBERAL
            236               7               7               7              11           GREEN
            237               7               7               5               6       NOT NAMED
            238              11               7               5               9             NDP
            239              10               5               9               7             NDP
            240              10               6              15               6         LIBERAL
            241               9              11               9               7    CONSERVATIVE
            242               4               2               7              10           GREEN
            243               6              11               7              11       NOT NAMED
            244               6              11               4               6    CONSERVATIVE
            245               5               7               4              11           GREEN
            246               5              11              11               8       NOT NAMED
            247               7               3               6              11           GREEN
            248               9              10               6               5    CONSERVATIVE
            249               5              10               5              12           GREEN
            250               6               6               8               7         LIBERAL
            251               5              11              11              12           GREEN
            252               6               5               4               9           GREEN
            253              11               6               9               5             NDP
            254               4               7              10               5         LIBERAL
            255              10              12               6               2    CONSERVATIVE
            256               4               6               8               8       NOT NAMED
            257              11               7               9               6             NDP
            258               8               9               7               9       NOT NAMED
            259               4               8               6               7    CONSERVATIVE
            260               9               8               4               6             NDP
            261               5               7               4               8           GREEN
            262               6               9               6               8    CONSERVATIVE
            263               9               7               9               3       NOT NAMED
            264               3              10               8              10       NOT NAMED
            265              10              10               8               6       NOT NAMED
            266               8               4               6              12           GREEN
            267               7              10               7              12           GREEN
            268              10               8               3               7             NDP
            269               7               8               6               6    CONSERVATIVE
            270              13               7               6              10             NDP
            271               2               9               6               4    CONSERVATIVE
            272               8               7              10               5         LIBERAL
            273               9               7               5              11           GREEN
            274              11              10               8               4             NDP
            275               6               7               5               6    CONSERVATIVE
            276              10               8              12               5         LIBERAL
            277               7               7               9               6         LIBERAL
            278               9               2               4               6             NDP
            279               6               6               8               5         LIBERAL
            280               6               5               9               9       NOT NAMED
            281               6               6               7               7       NOT NAMED
            282               6              11               6               4    CONSERVATIVE
            283              12               7               5              10             NDP
            284               6               5              10               8         LIBERAL
            285               4              13               7               2    CONSERVATIVE
            286               7               8               6               9           GREEN
            287               8               8              14               9         LIBERAL
            288               7               5              12               7         LIBERAL
            289               7               2               7              10           GREEN
            290               8               9              10               6         LIBERAL
            291              12               6               4               6             NDP
            292               7               7              12              11         LIBERAL
            293               4              10               7               9    CONSERVATIVE
            294              10               8              13              10         LIBERAL
            295               6               8              11               7         LIBERAL
            296               8               5              11               7         LIBERAL
            297               7               5               5              10           GREEN
            298               5               7               9              12           GREEN
            299               6               6               6               8           GREEN
            300               5              11               3               7    CONSERVATIVE
            301              12               5               9               9             NDP
            302               6               3               7               5         LIBERAL
            303               6               9               8               5    CONSERVATIVE
            304               9               7               6              11           GREEN
            305               7               8               5               6    CONSERVATIVE
            306              11               8               8               5             NDP
            307               3               7              12               5         LIBERAL
            308               2              10               5               5    CONSERVATIVE
            309               9               4               6               4             NDP
            310               6               6               4               6       NOT NAMED
            311               5               6               3              10           GREEN
            312               5               4              12               6         LIBERAL
            313               4               9              10               6         LIBERAL
            314               8              14               6               4    CONSERVATIVE
            315              11               2              10              11       NOT NAMED
            316               6               7               5               6    CONSERVATIVE
            317               9               5               7               2             NDP
            318               7              16               6              15    CONSERVATIVE
            319               3               7              10               6         LIBERAL
            320              11               9               3               4             NDP
            321               8               7               8               6       NOT NAMED
            322               5               7              10               8         LIBERAL
            323               5               5               8               7         LIBERAL
            324               5               6              11               4         LIBERAL
            325               3               6               7               7       NOT NAMED
            326               4               8              12               8         LIBERAL
            327               5              10               9               7    CONSERVATIVE
            328              10              10               5               8       NOT NAMED
            329               5               7              10               8         LIBERAL
            330               5               6               5               5    CONSERVATIVE
            331              12               5               7               8             NDP
            332               9               6               6               9       NOT NAMED
            333               4              10               7               3    CONSERVATIVE
            334               8               8               4               2       NOT NAMED
            335               8               6               7               6             NDP
            336              11               7               9               8             NDP
            337               0               0               0               0       NOT NAMED
